id,priority,due,tags,description,
"76","H","20181222","+(bug)","Need to fix annotation route with new creation system",
"77","H","20181222","+(bug)","Figure out the way were going to lock and unlock annotations in conjunction with annotation creation",
"64","H","20181223","+(feature)","comments need starring for conclusions to threads",
"66","H","20181223","+(feature)","comments need up and down votes and deletion options and flagging; comments should provide reputation",
"75","H","20181223","+(feature)","wiki edit reputation system",
"52","H","20190101","+(feature)","view annotations per line from search",
"53","H","20190101","+(feature)","reputation history page",
"54","M","20190101","+(expansion)","notifications of book request approval",
"55","M","20190101","+(expansion)","notifications of new books on authors",
"56","M","20190101","+(expansion)","notifications of tag request approval",
"57","M","20190101","+(expansion)","notification of new annotations on everything",
"58","M","20190101","+(bug)","remove all notifications during annotation deletion",
"59","M","20190101","+(bug)","remove all notifications during edit deletion",
"65","H","20190101","+(feature)","flag confirmation page",
"67","H","20190101","+(feature)","Implement markdown preprocessor for links, lines",
"69","H","20190101","+(bug)","Fix line sort bug on all the annotation lists",
"49","L","20190421","+(feature)","view all items followed view so it can be edited",
"2","L","99999999","+(feature)+(JS)","write javascript for pe char-level annotation",
"3","L","99999999","+(feature)+(AJAX)+(JS)","Write javascript for popup annotations on read view.",
"6","M","99999999","+(layout)","Add css rule for quotations",
"7","L","99999999","+(feature)+(investigation)","see about tag intersection",
"8","L","99999999","+(layout)","Re do css and layout",
"47","M","99999999","+(improvement)","improve pagination",
"48","M","99999999","+(tweak)","separate user annotations to new page",
"50","H","99999999","+(feature)","verifications",
"51","L","99999999","+(bug)","why don't tags entries cascade delete from the system but do from mysql?",
"60","H","99999999","+(feature)","make annotation flags public and make only resolvable by admins and make only one flag at a time",
"61","M","99999999","+(feature)","Modify tag system for user specific tags for commentary purposes",
"62","M","99999999","+(feature)","Locked tags (should be called locked) should be required and uneditable and allowable if already present, regardless of edit, unless special admin privilege",
"63","M","99999999","+(feature)","Create groups for easy admin privilege granting",
"68","H","99999999","+(bug)","make sure everything that says author says all authors or et al",
"70","M","99999999","+(tweak)","separate tag annotations to a new page",
"71",,"99999999","+(feature)","add wiki edit voting routes",
"72",,"99999999","+(structure)","change request system to utilize wiki system",
"73","M","99999999","+(investigation)","Consider implementing elasticsearch search for more content",
"74","M","99999999","+(feature)+(AJAX)+(JS)","Create autocomplete search for writers texts tags and users",
"78","M","99999999","+(tweak)","separate tag annotations to a separate page",
